주용도코드명,대지위치
편의시설,대구광역시 중구 동인동1가 9번지
편의시설,대구광역시 중구 동인동1가 9-7번지
편의시설,대구광역시 중구 동인동1가 9-8번지
편의시설,대구광역시 중구 동인동1가 9-9번지
주거지,대구광역시 중구 동인동1가 9-10번지
주거지,대구광역시 중구 동인동1가 10번지
주거지,대구광역시 중구 동인동1가 10-3번지
주거지,대구광역시 중구 동인동1가 10-6번지
주거지,대구광역시 중구 동인동1가 10-9번지
편의시설,대구광역시 중구 동인동2가 2-1번지
편의시설,대구광역시 중구 동인동2가 4번지
편의시설,대구광역시 중구 동인동2가 4-6번지
편의시설,대구광역시 중구 동인동2가 4-7번지
편의시설,대구광역시 중구 동인동2가 4-10번지
생산시설,대구광역시 중구 동인동2가 11번지
편의시설,대구광역시 중구 동인동2가 12번지
편의시설,대구광역시 중구 동인동2가 12-1번지
편의시설,대구광역시 중구 동인동2가 12-4번지
편의시설,대구광역시 중구 동인동2가 16-1번지
주거지,대구광역시 중구 동인동3가 192번지
주거지,대구광역시 중구 동인동3가 192-3번지
주거지,대구광역시 중구 동인동3가 192-5번지
주거지,대구광역시 중구 동인동3가 192-6번지
주거지,대구광역시 중구 동인동3가 192-8번지
주거지,대구광역시 중구 동인동3가 192-9번지
주거지,대구광역시 중구 동인동3가 192-11번지
주거지,대구광역시 중구 동인동3가 192-13번지
주거지,대구광역시 중구 동인동4가 2-1번지
편의시설,대구광역시 중구 동인동4가 2-2번지
주거지,대구광역시 중구 동인동4가 2-3번지
주거지,대구광역시 중구 동인동4가 2-6번지
주거지,대구광역시 중구 동인동4가 2-7번지
주거지,대구광역시 중구 동인동4가 2-8번지
주거지,대구광역시 중구 동인동4가 2-9번지
주거지,대구광역시 중구 동인동4가 2-11번지
창고시설,대구광역시 중구 동인동4가 2-13번지
편의시설,대구광역시 중구 삼덕동1가 1-187번지
편의시설,대구광역시 중구 삼덕동1가 4-3번지
편의시설,대구광역시 중구 삼덕동1가 4-5번지
편의시설,대구광역시 중구 삼덕동1가 4-7번지
편의시설,대구광역시 중구 삼덕동1가 4-8번지
편의시설,대구광역시 중구 삼덕동1가 4-10번지
편의시설,대구광역시 중구 삼덕동1가 4-12번지
편의시설,대구광역시 중구 삼덕동1가 4-13번지
주거지,대구광역시 중구 삼덕동1가 4-14번지
편의시설,대구광역시 중구 삼덕동1가 5-1번지
편의시설,대구광역시 중구 삼덕동2가 6번지
편의시설,대구광역시 중구 삼덕동2가 12-9번지
편의시설,대구광역시 중구 삼덕동2가 14번지
편의시설,대구광역시 중구 삼덕동2가 14-1번지
주거지,대구광역시 중구 삼덕동2가 15-1번지
주거지,대구광역시 중구 삼덕동2가 15-4번지
편의시설,대구광역시 중구 삼덕동2가 16-1번지
편의시설,대구광역시 중구 삼덕동2가 17-1번지
주거지,대구광역시 중구 삼덕동2가 19번지
주거지,대구광역시 중구 삼덕동2가 23번지
주거지,대구광역시 중구 삼덕동3가 2-2번지
주거지,대구광역시 중구 삼덕동3가 16-6번지
편의시설,대구광역시 중구 삼덕동3가 31-2번지
주거지,대구광역시 중구 삼덕동3가 33-1번지
주거지,대구광역시 중구 삼덕동3가 34-1번지
편의시설,대구광역시 중구 삼덕동3가 35-2번지
편의시설,대구광역시 중구 삼덕동3가 36-1번지
주거지,대구광역시 중구 삼덕동3가 39번지
편의시설,대구광역시 중구 삼덕동3가 39-1번지
주거지,대구광역시 중구 삼덕동3가 39-2번지
편의시설,대구광역시 중구 봉산동 1-1번지
편의시설,대구광역시 중구 봉산동 1-2번지
편의시설,대구광역시 중구 봉산동 1-3번지
편의시설,대구광역시 중구 봉산동 2-2번지
편의시설,대구광역시 중구 봉산동 2-3번지
편의시설,대구광역시 중구 봉산동 2-4번지
편의시설,대구광역시 중구 봉산동 2-5번지
편의시설,대구광역시 중구 봉산동 3-1번지
편의시설,대구광역시 중구 봉산동 3-3번지
편의시설,대구광역시 중구 봉산동 3-5번지
편의시설,대구광역시 중구 장관동 2-2번지
주거지,대구광역시 중구 장관동 5번지
주거지,대구광역시 중구 장관동 6번지
편의시설,대구광역시 중구 장관동 9-2번지
편의시설,대구광역시 중구 장관동 9-3번지
주거지,대구광역시 중구 장관동 10-1번지
편의시설,대구광역시 중구 장관동 15-2번지
편의시설,대구광역시 중구 장관동 16-2번지
편의시설,대구광역시 중구 장관동 25-1번지
편의시설,대구광역시 중구 장관동 26-2번지
편의시설,대구광역시 중구 상서동 5번지
편의시설,대구광역시 중구 상서동 7-2번지
편의시설,대구광역시 중구 상서동 9-2번지
편의시설,대구광역시 중구 상서동 13-1번지
주거지,대구광역시 중구 상서동 17번지
편의시설,대구광역시 중구 상서동 20-2번지
생산시설,대구광역시 중구 상서동 22-5번지
편의시설,대구광역시 중구 상서동 23-1번지
편의시설,대구광역시 중구 수동 1-1번지
편의시설,대구광역시 중구 수동 1-3번지
교육연구시설,대구광역시 중구 수동 1-6번지
편의시설,대구광역시 중구 수동 5-1번지
편의시설,대구광역시 중구 수동 6번지
편의시설,대구광역시 중구 수동 9-4번지
편의시설,대구광역시 중구 수동 18번지
편의시설,대구광역시 중구 수동 19-3번지
생산시설,대구광역시 중구 수동 22번지
편의시설,대구광역시 중구 수동 27-1번지
편의시설,대구광역시 중구 덕산동
편의시설,대구광역시 중구 덕산동 38번지
편의시설,대구광역시 중구 덕산동 49번지
편의시설,대구광역시 중구 덕산동 53-3번지
판매시설,대구광역시 중구 덕산동 67번지
편의시설,대구광역시 중구 종로1가 6-3번지
편의시설,대구광역시 중구 종로1가 6-5번지
편의시설,대구광역시 중구 종로1가 13-2번지
편의시설,대구광역시 중구 종로1가 13-7번지
편의시설,대구광역시 중구 종로1가 21번지
편의시설,대구광역시 중구 종로1가 22번지
편의시설,대구광역시 중구 종로1가 24-1번지
주거지,대구광역시 중구 종로1가 24-3번지
편의시설,대구광역시 중구 종로1가 28-1번지
편의시설,대구광역시 중구 종로1가 28-2번지
편의시설,대구광역시 중구 종로2가 1번지
편의시설,대구광역시 중구 종로2가 2-1번지
편의시설,대구광역시 중구 종로2가 2-2번지
편의시설,대구광역시 중구 종로2가 3번지
편의시설,대구광역시 중구 종로2가 3-4번지
편의시설,대구광역시 중구 종로2가 4번지
편의시설,대구광역시 중구 종로2가 5번지
편의시설,대구광역시 중구 종로2가 7-1번지
편의시설,대구광역시 중구 종로2가 15번지
판매시설,대구광역시 중구 사일동 15-1번지
주거지,대구광역시 중구 사일동 50-1번지
편의시설,대구광역시 중구 사일동 51-1번지
편의시설,대구광역시 중구 사일동 51-4번지
편의시설,대구광역시 중구 사일동 54-1번지
편의시설,대구광역시 중구 사일동 55-2번지
편의시설,대구광역시 중구 사일동 57-3번지
편의시설,대구광역시 중구 사일동 57-4번지
편의시설,대구광역시 중구 사일동 57-7번지
편의시설,대구광역시 중구 동일동 1-1번지
편의시설,대구광역시 중구 동일동 8-1번지
편의시설,대구광역시 중구 동일동 10-1번지
편의시설,대구광역시 중구 동일동 11-1번지
주거지,대구광역시 중구 동일동 14번지
편의시설,대구광역시 중구 동일동 14-1번지
편의시설,대구광역시 중구 동일동 17-3번지
편의시설,대구광역시 중구 동일동 19-1번지
편의시설,대구광역시 중구 동일동 19-3번지
편의시설,대구광역시 중구 동일동 20번지
교육연구시설,대구광역시 중구 남일동 24-4번지
생산시설,대구광역시 중구 남일동 29-3번지
자동차관련시설,대구광역시 중구 남일동 30-11번지
편의시설,대구광역시 중구 남일동 33-6번지
편의시설,대구광역시 중구 남일동 33-8번지
편의시설,대구광역시 중구 남일동 33-9번지
생산시설,대구광역시 중구 남일동 36-1번지
편의시설,대구광역시 중구 남일동 37-3번지
생산시설,대구광역시 중구 남일동 50-1번지
교육연구시설,대구광역시 중구 남일동 53-5번지
편의시설,대구광역시 중구 전동 3-1번지
편의시설,대구광역시 중구 전동 3-2번지
주거지,대구광역시 중구 전동 3-3번지
주거지,대구광역시 중구 전동 3-4번지
편의시설,대구광역시 중구 전동 4-1번지
주거지,대구광역시 중구 전동 5번지
편의시설,대구광역시 중구 전동 6-2번지
편의시설,대구광역시 중구 전동 6-3번지
편의시설,대구광역시 중구 전동 7-1번지
편의시설,대구광역시 중구 전동 20-1번지
편의시설,대구광역시 중구 동성로3가 1-3번지
편의시설,대구광역시 중구 동성로3가 1-7번지
편의시설,대구광역시 중구 동성로3가 7-3번지
편의시설,대구광역시 중구 동성로3가 7-4번지
편의시설,대구광역시 중구 동성로3가 7-6번지
편의시설,대구광역시 중구 동성로3가 7-7번지
편의시설,대구광역시 중구 동성로3가 8번지
편의시설,대구광역시 중구 동성로3가 8-6번지
편의시설,대구광역시 중구 동성로3가 8-8번지
편의시설,대구광역시 중구 동성로3가 9번지
주거지,대구광역시 중구 동문동 1-2번지
편의시설,대구광역시 중구 동문동 1-3번지
편의시설,대구광역시 중구 동문동 1-4번지
편의시설,대구광역시 중구 동문동 1-7번지
편의시설,대구광역시 중구 동문동 1-9번지
편의시설,대구광역시 중구 동문동 1-12번지
편의시설,대구광역시 중구 동문동 1-14번지
편의시설,대구광역시 중구 동문동 1-18번지
편의시설,대구광역시 중구 동문동 1-19번지
편의시설,대구광역시 중구 동문동 1-20번지
편의시설,대구광역시 중구 문화동 1-1번지
편의시설,대구광역시 중구 문화동 1-2번지
편의시설,대구광역시 중구 문화동 1-3번지
편의시설,대구광역시 중구 문화동 1-4번지
편의시설,대구광역시 중구 문화동 1-6번지
편의시설,대구광역시 중구 문화동 1-7번지
편의시설,대구광역시 중구 문화동 2-3번지
편의시설,대구광역시 중구 문화동 2-4번지
주거지,대구광역시 중구 문화동 2-6번지
창고시설,대구광역시 중구 문화동 2-9번지
편의시설,대구광역시 중구 공평동 1-1번지
편의시설,대구광역시 중구 공평동 1-3번지
편의시설,대구광역시 중구 공평동 1-5번지
편의시설,대구광역시 중구 공평동 1-6번지
편의시설,대구광역시 중구 공평동 8-2번지
편의시설,대구광역시 중구 공평동 8-4번지
편의시설,대구광역시 중구 공평동 8-6번지
주거지,대구광역시 중구 공평동 9번지
편의시설,대구광역시 중구 공평동 10-2번지
주거지,대구광역시 중구 공평동 10-3번지
편의시설,대구광역시 중구 동성로2가 1-1번지
편의시설,대구광역시 중구 동성로2가 1-2번지
편의시설,대구광역시 중구 동성로2가 1-3번지
편의시설,대구광역시 중구 동성로2가 1-4번지
편의시설,대구광역시 중구 동성로2가 2-3번지
편의시설,대구광역시 중구 동성로2가 2-4번지
편의시설,대구광역시 중구 동성로2가 2-5번지
편의시설,대구광역시 중구 동성로2가 4-2번지
편의시설,대구광역시 중구 동성로2가 5-1번지
편의시설,대구광역시 중구 동성로2가 5-2번지
생산시설,대구광역시 중구 태평로1가 1번지
편의시설,대구광역시 중구 태평로1가 1-3번지
주거지,대구광역시 중구 태평로1가 1-25번지
주거지,대구광역시 중구 태평로1가 1-68번지
편의시설,대구광역시 중구 태평로1가 1-90번지
편의시설,대구광역시 중구 태평로1가 1-96번지
판매시설,대구광역시 중구 태평로1가 1-99번지
편의시설,대구광역시 중구 태평로1가 1-152번지
편의시설,대구광역시 중구 교동 3-9번지
편의시설,대구광역시 중구 교동 7-10번지
생산시설,대구광역시 중구 교동 8번지
편의시설,대구광역시 중구 교동 11-17번지
주거지,대구광역시 중구 교동 13-4번지
주거지,대구광역시 중구 교동 15-1번지
편의시설,대구광역시 중구 교동 15-3번지
주거지,대구광역시 중구 교동 16-1번지
주거지,대구광역시 중구 교동 17-3번지
편의시설,대구광역시 중구 교동 18-4번지
주거지,대구광역시 중구 용덕동 1-1번지
편의시설,대구광역시 중구 용덕동 1-4번지
편의시설,대구광역시 중구 용덕동 1-5번지
편의시설,대구광역시 중구 용덕동 1-7번지
편의시설,대구광역시 중구 용덕동 1-8번지
편의시설,대구광역시 중구 용덕동 1-9번지
편의시설,대구광역시 중구 용덕동 1-10번지
편의시설,대구광역시 중구 용덕동 1-11번지
주거지,대구광역시 중구 용덕동 1-12번지
편의시설,대구광역시 중구 용덕동 1-13번지
편의시설,대구광역시 중구 상덕동 1-2번지
편의시설,대구광역시 중구 상덕동 2-3번지
편의시설,대구광역시 중구 상덕동 3-1번지
편의시설,대구광역시 중구 상덕동 3-3번지
편의시설,대구광역시 중구 상덕동 3-4번지
편의시설,대구광역시 중구 상덕동 4-1번지
편의시설,대구광역시 중구 상덕동 4-2번지
편의시설,대구광역시 중구 상덕동 4-3번지
편의시설,대구광역시 중구 상덕동 4-5번지
편의시설,대구광역시 중구 상덕동 4-8번지
주거지,대구광역시 중구 완전동 1-1번지
주거지,대구광역시 중구 완전동 1-2번지
편의시설,대구광역시 중구 완전동 1-3번지
주거지,대구광역시 중구 완전동 1-6번지
주거지,대구광역시 중구 완전동 1-10번지
주거지,대구광역시 중구 완전동 1-11번지
편의시설,대구광역시 중구 완전동 1-15번지
주거지,대구광역시 중구 완전동 1-16번지
주거지,대구광역시 중구 완전동 1-18번지
주거지,대구광역시 중구 완전동 1-20번지
주거지,대구광역시 중구 도원동 2-52번지
주거지,대구광역시 중구 도원동 3번지
편의시설,대구광역시 중구 수창동 20-3번지
편의시설,대구광역시 중구 수창동 20-4번지
창고시설,대구광역시 중구 수창동 21-2번지
편의시설,대구광역시 중구 수창동 21-4번지
창고시설,대구광역시 중구 수창동 21-6번지
창고시설,대구광역시 중구 수창동 21-7번지
창고시설,대구광역시 중구 수창동 21-9번지
창고시설,대구광역시 중구 수창동 21-11번지
창고시설,대구광역시 중구 수창동 21-12번지
편의시설,대구광역시 중구 수창동 24-1번지
주거지,대구광역시 중구 태평로3가 165-1번지
주거지,대구광역시 중구 태평로3가 165-4번지
주거지,대구광역시 중구 태평로3가 170번지
편의시설,대구광역시 중구 태평로3가 170-6번지
창고시설,대구광역시 중구 태평로3가 170-8번지
주거지,대구광역시 중구 태평로3가 171번지
편의시설,대구광역시 중구 태평로3가 174-1번지
편의시설,대구광역시 중구 태평로3가 181번지
편의시설,대구광역시 중구 태평로3가 181-1번지
주거지,대구광역시 중구 태평로3가 182-1번지
주거지,대구광역시 중구 인교동 26-1번지
주거지,대구광역시 중구 인교동 27번지
주거지,대구광역시 중구 인교동 28번지
편의시설,대구광역시 중구 인교동 35번지
주거지,대구광역시 중구 인교동 36-1번지
교육연구시설,대구광역시 중구 인교동 43-1번지
주거지,대구광역시 중구 인교동 44-1번지
교육연구시설,대구광역시 중구 인교동 44-3번지
편의시설,대구광역시 중구 인교동 44-4번지
창고시설,대구광역시 중구 인교동 44-5번지
편의시설,대구광역시 중구 서야동 1-1번지
편의시설,대구광역시 중구 서야동 5-1번지
편의시설,대구광역시 중구 서야동 8번지
편의시설,대구광역시 중구 서야동 9번지
주거지,대구광역시 중구 서야동 10번지
주거지,대구광역시 중구 서야동 10-5번지
주거지,대구광역시 중구 서야동 11-1번지
주거지,대구광역시 중구 서야동 11-3번지
편의시설,대구광역시 중구 서성로1가 2-1번지
편의시설,대구광역시 중구 서성로1가 3번지
편의시설,대구광역시 중구 서성로1가 3-1번지
주거지,대구광역시 중구 서성로1가 5-1번지
주거지,대구광역시 중구 서성로1가 5-3번지
편의시설,대구광역시 중구 서성로1가 7-3번지
생산시설,대구광역시 중구 서성로1가 9-3번지
편의시설,대구광역시 중구 서성로1가 12번지
주거지,대구광역시 중구 서성로1가 13번지
편의시설,대구광역시 중구 시장북로 1-1번지
생산시설,대구광역시 중구 시장북로 1-2번지
편의시설,대구광역시 중구 시장북로 1-8번지
편의시설,대구광역시 중구 시장북로 1-9번지
편의시설,대구광역시 중구 시장북로 1-13번지
편의시설,대구광역시 중구 시장북로 1-14번지
편의시설,대구광역시 중구 시장북로 2-2번지
편의시설,대구광역시 중구 시장북로 2-3번지
주거지,대구광역시 중구 시장북로 2-6번지
편의시설,대구광역시 중구 하서동 1-1번지
편의시설,대구광역시 중구 하서동 1-2번지
편의시설,대구광역시 중구 하서동 2-1번지
편의시설,대구광역시 중구 하서동 2-3번지
편의시설,대구광역시 중구 하서동 2-4번지
편의시설,대구광역시 중구 하서동 8-2번지
생산시설,대구광역시 중구 하서동 13번지
주거지,대구광역시 중구 하서동 17-2번지
주거지,대구광역시 중구 하서동 20번지
주거지,대구광역시 중구 남성로 1번지
편의시설,대구광역시 중구 남성로 2-1번지
생산시설,대구광역시 중구 남성로 5번지
편의시설,대구광역시 중구 남성로 8-3번지
편의시설,대구광역시 중구 남성로 10-2번지
편의시설,대구광역시 중구 남성로 13-2번지
편의시설,대구광역시 중구 남성로 14-4번지
편의시설,대구광역시 중구 남성로 16-2번지
편의시설,대구광역시 중구 계산동1가 2-9번지
주거지,대구광역시 중구 계산동1가 7번지
주거지,대구광역시 중구 계산동1가 8번지
주거지,대구광역시 중구 계산동1가 8-1번지
주거지,대구광역시 중구 계산동1가 13번지
생산시설,대구광역시 중구 계산동1가 14번지
편의시설,대구광역시 중구 계산동1가 14-1번지
생산시설,대구광역시 중구 계산동1가 15번지
편의시설,대구광역시 중구 계산동1가 17번지
편의시설,대구광역시 중구 계산동1가 18번지
문화및집회시설,대구광역시 중구 계산동2가 1-1번지
생산시설,대구광역시 중구 계산동2가 2-2번지
편의시설,대구광역시 중구 계산동2가 6번지
편의시설,대구광역시 중구 계산동2가 7번지
편의시설,대구광역시 중구 계산동2가 8번지
주거지,대구광역시 중구 계산동2가 9번지
