주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,위도,경도
상인1공영주차장,공영,노외,대구광역시 달서구 상화북로 196-6,대구광역시 달서구 상인동 1553,35.81298632,128.5470576
능금공원(두류공영)주차장,공영,노외,대구광역시 달서구 명덕로2길 57 (두류동),대구광역시 달서구 두류동 1213,35.85950078,128.5709285
상인2공영주차장,공영,노외,대구광역시 달서구 상인서로 8-3,대구광역시 달서구 상인동 1528-4,35.81216524,128.547007
용산1공영주차장,공영,노외,대구광역시 달서구 달구벌대로301길 173,대구광역시 달서구 용산동 933-4,35.85750073,128.5313418
용산2공영주차장,공영,노외,대구광역시 달서구 용산서로 10,대구광역시 달서구 용산동 931-4,35.85778569,128.5295581
장기공영주차장,공영,노외,대구광역시 달서구 장기로 277,대구광역시 달서구 장기동 817-1,35.84334947,128.5299748
본리1공영주차장,공영,노외,대구광역시 달서구 용산로 49,대구광역시 달서구 본리동 1196,35.84171859,128.5304009
본리2공영주차장,공영,노외,대구광역시 달서구 대명천로 284,대구광역시 달서구 본리동 1196,35.84196757,128.529237
진천환승공영(A구역),공영,노외,대구광역시 달서구 진천로9길 33,대구광역시 달서구 진천동 626-31,35.81222285,128.5228086
진천환승공영(B구역),공영,노외,대구광역시 달서구 진천로7길 36,대구광역시 달서구 진천동 493-7,35.81144316,128.5233138
도원동마을공영주차장,공영,노외,대구광역시 달서구 상화로58길 56,대구광역시 달서구 도원동 668-10,35.8060227,128.5470122
용산역환승주차장,공영,노외,대구광역시 달서구 용산로 113,대구광역시 달서구 장기동 810-4,35.84793267,128.5297971
호림1공영주차장,공영,노외,대구광역시 달서구 달서대로85길 17,대구광역시 달서구 호림동 13-10,35.83710457,128.4897346
호림2공영주차장,공영,노외,대구광역시 달서구 성서공단로15길 29,대구광역시 달서구 호림동 12-1,35.83778887,128.4901451
호산공영주차장,공영,노외,대구광역시 달서구 달서대로95길 14,대구광역시 달서구 호산동 714-1,35.84221438,128.4901308
본동1공영주차장,공영,노외,대구광역시 달서구 학산로19길 31,대구광역시 달서구 본동 922,35.83366211,128.5364072
