,주용도코드명,대지위치
0,편의시설,대전광역시 동구 원동 20-1번지
1,편의시설,대전광역시 동구 원동 20-2번지
2,편의시설,대전광역시 동구 원동 20-3번지
3,편의시설,대전광역시 동구 원동 20-5번지
4,창고시설,대전광역시 동구 원동 20-6번지
5,편의시설,대전광역시 동구 원동 20-7번지
6,창고시설,대전광역시 동구 원동 20-8번지
7,편의시설,대전광역시 동구 원동 20-9번지
8,주거지,대전광역시 동구 원동 20-11번지
9,주거지,대전광역시 동구 원동 20-12번지
10,방송통신시설,대전광역시 동구 인동 6-1번지
11,편의시설,대전광역시 동구 인동 10-1번지
12,편의시설,대전광역시 동구 인동 10-2번지
13,주거지,대전광역시 동구 인동 10-3번지
14,창고시설,대전광역시 동구 인동 10-4번지
15,편의시설,대전광역시 동구 인동 10-5번지
16,주거지,대전광역시 동구 인동 10-6번지
17,주거지,대전광역시 동구 인동 10-7번지
18,편의시설,대전광역시 동구 인동 10-12번지
19,판매시설,대전광역시 동구 인동 11-1번지
20,방송통신시설,대전광역시 동구 효동 122-1번지
21,편의시설,대전광역시 동구 효동 125-1번지
22,편의시설,대전광역시 동구 효동 125-2번지
23,편의시설,대전광역시 동구 효동 125-3번지
24,주거지,대전광역시 동구 효동 125-4번지
25,생산시설,대전광역시 동구 효동 126-1번지
26,주거지,대전광역시 동구 효동 126-3번지
27,편의시설,대전광역시 동구 효동 126-5번지
28,편의시설,대전광역시 동구 효동 126-6번지
29,주거지,대전광역시 동구 효동 126-10번지
30,주거지,대전광역시 동구 천동
32,주거지,대전광역시 동구 천동 1번지
40,주거지,대전광역시 동구 가오동
41,편의시설,대전광역시 동구 가오동 7-8번지
42,주거지,대전광역시 동구 가오동 7-12번지
44,창고시설,대전광역시 동구 가오동 9번지
45,주거지,대전광역시 동구 가오동 17번지
46,주거지,대전광역시 동구 가오동 17-4번지
47,주거지,대전광역시 동구 가오동 17-5번지
48,주거지,대전광역시 동구 가오동 25번지
50,주거지,대전광역시 동구 신흥동 1-1번지
51,주거지,대전광역시 동구 신흥동 1-2번지
52,주거지,대전광역시 동구 신흥동 1-3번지
53,주거지,대전광역시 동구 신흥동 1-4번지
54,주거지,대전광역시 동구 신흥동 1-6번지
55,주거지,대전광역시 동구 신흥동 1-8번지
56,편의시설,대전광역시 동구 신흥동 1-10번지
57,주거지,대전광역시 동구 신흥동 1-12번지
58,주거지,대전광역시 동구 신흥동 1-13번지
59,주거지,대전광역시 동구 신흥동 1-14번지
60,주거지,대전광역시 동구 판암동 1번지
62,주거지,대전광역시 동구 판암동 1-2번지
63,주거지,대전광역시 동구 판암동 1-6번지
64,주거지,대전광역시 동구 판암동 1-10번지
65,주거지,대전광역시 동구 판암동 1-12번지
66,주거지,대전광역시 동구 판암동 2-1번지
67,주거지,대전광역시 동구 판암동 2-4번지
68,주거지,대전광역시 동구 판암동 6번지
70,주거지,대전광역시 동구 삼정동 1-7번지
71,편의시설,대전광역시 동구 삼정동 3-5번지
72,주거지,대전광역시 동구 삼정동 8-6번지
73,창고시설,대전광역시 동구 삼정동 24번지
74,편의시설,대전광역시 동구 삼정동 24-1번지
75,주거지,대전광역시 동구 삼정동 25번지
76,편의시설,대전광역시 동구 삼정동 25-3번지
77,님비시설,대전광역시 동구 삼정동 33번지
78,편의시설,대전광역시 동구 삼정동 35-3번지
80,주거지,대전광역시 동구 용운동
81,창고시설,대전광역시 동구 용운동 1번지
82,주거지,대전광역시 동구 용운동 1-587번지
83,주거지,대전광역시 동구 용운동 16-1번지
84,주거지,대전광역시 동구 용운동 26번지
85,님비시설,대전광역시 동구 용운동 38-12번지
88,주거지,대전광역시 동구 용운동 47-1번지
89,편의시설,대전광역시 동구 용운동 47-3번지
90,주거지,대전광역시 동구 대동 1-31번지
91,편의시설,대전광역시 동구 대동 1-35번지
92,주거지,대전광역시 동구 대동 1-41번지
93,주거지,대전광역시 동구 대동 1-46번지
94,주거지,대전광역시 동구 대동 1-50번지
95,주거지,대전광역시 동구 대동 1-62번지
96,주거지,대전광역시 동구 대동 1-74번지
97,주거지,대전광역시 동구 대동 1-79번지
98,주거지,대전광역시 동구 대동 1-105번지
99,주거지,대전광역시 동구 대동 1-108번지
100,교육연구시설,대전광역시 동구 자양동 2번지
110,주거지,대전광역시 동구 신안동 4번지
111,편의시설,대전광역시 동구 신안동 215-1번지
112,주거지,대전광역시 동구 신안동 215-3번지
113,주거지,대전광역시 동구 신안동 215-5번지
114,편의시설,대전광역시 동구 신안동 215-9번지
115,주거지,대전광역시 동구 신안동 215-10번지
117,주거지,대전광역시 동구 신안동 215-11번지
118,주거지,대전광역시 동구 신안동 215-15번지
119,주거지,대전광역시 동구 신안동 215-16번지
120,주거지,대전광역시 동구 소제동 218-7번지
121,주거지,대전광역시 동구 소제동 218-9번지
122,주거지,대전광역시 동구 소제동 218-12번지
123,주거지,대전광역시 동구 소제동 218-13번지
124,주거지,대전광역시 동구 소제동 218-15번지
125,주거지,대전광역시 동구 소제동 218-17번지
126,주거지,대전광역시 동구 소제동 218-19번지
