주차장명,주차장구분,소재지지번주소,주차구획수,위도,경도
신성동 제2공영,공영,대전광역시 유성구 신성동 211-2,70,36.38851994,127.3488631
덕명지구 공영(1),공영,대전광역시 유성구 덕명동 544,30,36.35677363,127.3103269
덕명지구 공영(2),공영,대전광역시 유성구 구암동 657,19,36.36050071,127.308142
덕명지구 공영(3),공영,대전광역시 유성구 구암동 677,17,36.35860387,127.3093185
덕명지구 공영(4),공영,대전광역시 유성구 덕명동 544,29,36.35677363,127.3103269
덕명지구 공영(5),공영,대전광역시 유성구 덕명동 545,53,36.35604197,127.3102913
덕명지구 공영(6),공영,대전광역시 유성구 덕명동 530,21,36.35783461,127.3067967
장대동 공영,공영,대전광역시 유성구 장대동 263-2,144,36.36000008,127.331852
전민동주민센터공영,공영,대전광역시 유성구 전민동 300-4,60,36.39984221,127.3996829
전민동 제1공영,공영,대전광역시 유성구 전민동 332-4,37,36.39858478,127.4034104
전민동 제2공영,공영,대전광역시 유성구 전민동 346-3,28,36.39869299,127.4011231
교촌동공영,공영,대전광역시 유성구 교촌동 636-1,23,36.30262606,127.3148186
원내동공영,공영,대전광역시 유성구 원내동 341-6,127,36.29832235,127.3193786
학하지구 공영,공영,대전광역시 유성구 덕명동 588,62,36.35012088,127.2982723
수통골 공영주차장,공영,대전광역시 유성구 계산동 354,177,36.34532238,127.2905214
세동 공영주차장,공영,대전광역시 유성구 세동 136,12,36.29262156,127.2736765
학하지구 공영(2),공영,대전광역시 유성구 복용동 604-1,46,36.3422138,127.3147208
학하지구 공영(3),공영,대전광역시 유성구 학하동 714-9,34,36.34183023,127.3071825
학하지구 공영(4),공영,대전광역시 유성구 학하동 721-1,40,36.34043256,127.3062871
학하지구 공영(5),공영,대전광역시 유성구 덕명동 595,30,36.34761016,127.2970655
학하지구 공영(6),공영,대전광역시 유성구 계산동 758-7,34,36.33739008,127.2998974
"삼성동 한국아파트 주변(현암로18번길, 태전로174번 안길)",공영,"대전광역시 동구 삼성동 373, 382,383번지 주변",21,36.34349379999962,127.42042210000018
삼정동구정골마을공영주차장,공영,대전광역시 동구 삼정동 70번지,10,36.32611789999962,127.47510910000005
성남동 효촌아파트 담길,공영,"대전광역시 동구 효촌A 209,210,211동 담길",45,37.05540140000023,127.05182959999944
신안동 한국철도시설공단 뒷길,공영,대전광역시 동구 신안동 262~293번지선,82,36.342140600000114,127.43071240000008
신흥동 복합상가건물 뒤,공영,대전광역시 동구 신흥동 12-8~13-5번지선,8,36.321770599999866,127.44506969999948
신흥삼거리~제1치수교,공영,대전광역시 동구 충무로길(구 신흥동사무소 앞),25,36.3240479999996,127.4333389999999
심영목재상사 앞,공영,대전광역시 동구 삼성동 296-19,17,36.33627400000026,127.4234411000001
문창시장공영주차장,공영,대전광역시 중구 문창동 116-8,61,36.31561672,127.4384886
유천시장공영주차장,공영,대전광역시 중구 유천동 211-5,53,36.31692977,127.3966599
선화동제2노외,공영,대전광역시 중구 선화동 236-8,33,36.3291468,127.4220455
대흥동제3노외,공영,대전광역시 중구 대흥동 452-30,53,36.32463693,127.4237318
대흥동제5노외,공영,대전광역시 중구 대흥동 452-74,25,36.32411911,127.4247484
태평2동제3노외,공영,대전광역시 중구 태평동 378-29,23,36.32686868,127.3940601
사정동제1노외,공영,대전광역시 중구 사정동 397,33,36.29711219,127.3840357
사정동제2노외,공영,대전광역시 중구 사정동 403,32,36.29642442,127.3852017947
안영동제1노외,공영,대전광역시 중구 안영동 71-1,48,36.28533721,127.3844931
선화동제3노외,공영,대전광역시 중구 선화동 889,22,36.32671701,127.4144851
산성시장제2노외,공영,대전광역시 중구 산성동 284-9,28,36.305887,127.3870556
산성시장제1노외,공영,대전광역시 중구 산성동 282-5,45,36.30557678,127.3880136
선화동제1노외,공영,대전광역시 중구 선화동 136-11,113,36.33230442,127.4202841
대흥동제4노외,공영,대전광역시 중구 대흥동 480,17,36.3260894865,127.4225566
둔지미길(향촌@~파랑새@),공영,대전광역시 서구 둔산동957,143,36.35635130000023,127.37443589999941
갈마2동큰마을네거리주변,공영,대전광역시 서구 갈마동1435,46,36.347694100000155,127.37614749999996
가양2동 39-9～49-23번지선,공영,대전광역시 동구 가양2동사무소 앞,76,37.05540140000023,127.05182959999944
가양2동 50-2～ 85-2번지선,공영,대전광역시 동구 가양2동사무소 맞은 편,52,36.34841109999993,127.45811190000016
가양2동 대주파크빌(아) 뒷길,공영,대전광역시 동구 가양동 151-653번지선,249,36.348529300000216,127.45032290000007
가양동 가양천 복개길,공영,대전광역시 동구 가양동 아침마을@~가양초교 맞은편,97,37.05540140000023,127.05182959999944
가양동 가양천 복개길,공영,대전광역시 동구 가양동 대전한일신협~영동올갱이해장국,89,37.05540140000023,127.05182959999944
"계족로 409, 417, 423번길",공영,"대전광역시 동구 홍도동 2-4, 74-5, 6-5, 7-8번지선",15,36.35006870000022,127.42869089999952
녹색주차마을(용운동),공영,"대전광역시 동구 용운동 390-6, 시장길, 산성3길",30,36.324754899999576,127.46400839999959
녹색주차마을(자양동),공영,"대전광역시 동구 자양동 210-11,",43,36.343325599999666,127.45126039999987
대동 보현문화회관 뒷길,공영,대전광역시 동구 자양동 207-34~205-12번지선,25,37.05540140000023,127.05182959999944
대동복개도로(대동시장길),공영,대전광역시 동구 대동복개천(새들뫼@ 앞길),10,37.05540140000023,127.05182959999944
대동복개도로(대동시장길),공영,대전광역시 동구 대동복개천(새들뫼@ 앞길),26,37.05540140000023,127.05182959999944
대전천우안8길(북부교~현암교),공영,대전광역시 동구 삼성동 312-6~330-13번지선,74,36.33771299999979,127.4241787999996
삼성동 건강보험관리공단 주변,공영,대전광역시 동구 삼성동 398-3번지 주변,33,36.33745720000016,127.42468689999984
"삼성동 검배2길, 4길, 5길",공영,"대전광역시 동구 동서대로104번길, 1520번길(삼성동 309,310,319,320번지선)",22,37.05540140000023,127.05182959999944
삼성동 동구보건소 담길,공영,대전광역시 동구 삼성동 374-1번지 옆,25,36.342849799999655,127.41999089999955
삼성동 동산교회 앞길(오정철로길),공영,대전광역시 동구 삼성동 379-1~384-14번지선,50,36.344390099999686,127.41978719999932
삼성동 삼성물류센터 주변,공영,대전광역시 동구 삼성동 395번지 주변,31,36.34274240000014,127.41573129999938
삼성동 삼성철교,공영,대전광역시 동구 삼성동 솔랑마을@ 뒤,25,37.05540140000023,127.05182959999944
삼성동 중부소방서 주변,공영,대전광역시 동구 태전로137번길(삼성동 322-4),17,36.34028839999995,127.4172354999998
월평1동이마트주변,공영,대전광역시 서구 월평동510,48,36.35773000000008,127.36195679999994
월평2동둔산선사유적지옆,공영,대전광역시 서구 월평동281,20,36.360533899999616,127.37732519999989
대전일보~월평타운구간,공영,대전광역시 서구 월평1동29-3,44,36.35319770000016,127.36054839999935
탄방동탄방역주변,공영,대전광역시 서구 탄방동667,93,36.34461419999992,127.38504100000023
계룡로 주변 노상주차장,공영,대전광역시 서구 둔산2동 1136,221,36.34653789999985,127.37907660000012
만년동서구보건소주변,공영,대전광역시 서구 만년동340,117,36.3670905999996,127.38071669999965
법원.검찰청앞갤러리아옆,공영,대전광역시 서구 둔산동1390,155,36.35468860000003,127.3863880999998
법원.검찰청연장노선,공영,대전광역시 서구 둔산동1390,80,36.35468860000003,127.3863880999998
탄방동로데오타운주변,공영,대전광역시 서구 탄방동746,57,36.34729889999988,127.38748380000013
둔산로31번길,공영,대전광역시 서구 둔산동1001,91,36.3548698000001,127.37754569999971
도시철도공사주변,공영,대전광역시 서구 월평동160-20,107,36.348537499999594,127.35174860000009
대전일보 앞,공영,대전광역시 서구 갈마동274-7,64,36.35356449999982,127.36346629999946
서구청 앞,공영,대전광역시 서구 둔산동1300,142,36.35507700000008,127.38275729999954
을지병원주변,공영,대전광역시 서구 둔산2동1306,153,36.35506819999983,127.38095269999941
월평길(월평초~월평중),공영,대전광역시 서구 월평동663,122,36.35693469999975,127.36662299999959
부사동제1노외,공영,대전광역시 중구 부사동 423-6,5,36.30885556,127.4308234
부사동제2노외,공영,대전광역시 중구 부사동 366-3,23,36.30947338,127.4354324
부사동제3노외,공영,대전광역시 중구 부사동 429-6,8,36.31077745,127.4306134
안영동제2노외,공영,대전광역시 중구 안영동 697,75,36.28529788,127.3825142
안영동제3노외,공영,대전광역시 중구 안영동 663,26,36.2905556,127.3796742632
침산동제1노외,공영,대전광역시 중구 침산동 360,176,36.28716232,127.3909063
석교동제1노외,공영,대전광역시 중구 석교동 244-7,7,36.30717787,127.4368931
대흥동제1노외,공영,대전광역시 중구 대흥동 125-1,144,36.32584044,127.4291892
으능정이상점가 고객주차장,공영,대전광역시 중구 은행동 170-8,35,36.32704845,127.4282661
오류동제1노외,공영,대전광역시 중구 오류동 175-7,7,36.32320782,127.4099592
오류동제2노외,공영,대전광역시 중구 오류동 149-3,24,36.32376733,127.4102098
관평동5공영,공영,대전광역시 유성구 관평동 1052,44,36.42395378,127.391496
메가시티주변,공영,대전광역시 유성구 노은동 554-3,22,36.36586013,127.3165493
열매마을4단지 앞,공영,대전광역시 유성구 지족동 884-4,11,36.37574996,127.3163137
