구분,용 도,승용차,승합차,화물자동차,특수자동차
조치원읍,관용,54,31,73,11
조치원읍,자가용,16471,766,2531,54
조치원읍,영업용,214,121,231,36
연기면,관용,2,0,10,0
연기면,자가용,1216,60,348,1
연기면,영업용,3,0,41,1
연동면,관용,2,1,1,1
연동면,자가용,1429,79,571,10
연동면,영업용,4,5,36,11
부강면,관용,1,0,3,0
부강면,자가용,2776,126,919,10
부강면,영업용,14,1,159,8
금남면,관용,4,4,10,0
금남면,자가용,3840,160,1103,17
금남면,영업용,9,0,110,32
장군면,관용,2,2,4,0
장군면,자가용,3025,161,975,11
장군면,영업용,126,0,214,4
연서면,관용,7,2,7,0
연서면,자가용,2994,149,1160,10
연서면,영업용,69,129,83,3
전의면,관용,2,2,4,0
전의면,자가용,2328,128,892,6
전의면,영업용,11,0,260,3
전동면,관용,2,0,2,0
전동면,자가용,1335,104,762,2
전동면,영업용,5,0,21,5
소정면,관용,2,1,2,0
소정면,자가용,1064,62,500,0
소정면,영업용,1,0,105,3
한솔동,관용,2,1,11,1
한솔동,자가용,8076,150,356,7
한솔동,영업용,3,0,22,10
새롬동,관용,60,13,4,4
새롬동,자가용,14684,275,650,12
새롬동,영업용,19,2,35,4
도담동,소계,13260,415,600,46
도담동,관용,132,61,30,17
도담동,자가용,13122,192,533,15
도담동,영업용,6,162,37,14
아름동,소계,10166,178,374,17
아름동,관용,3,0,11,1
아름동,자가용,10161,178,339,8
아름동,영업용,2,0,24,8
종촌동,관용,2,0,1,0
종촌동,자가용,12175,194,525,13
종촌동,영업용,4,0,37,6
고운동,관용,1,4,1,0
고운동,자가용,15037,325,765,21
고운동,영업용,8,0,66,8
소담동,관용,7,13,5,0
소담동,자가용,14351,231,614,6
소담동,영업용,47,2,48,4
보람동,관용,45,39,46,5
보람동,자가용,8757,143,440,6
보람동,영업용,47,3,20,2
대평동,관용,1,1,0,0
대평동,자가용,5132,81,277,4
대평동,영업용,5,0,21,0
다정동,관용,1,0,0,0
다정동,자가용,9294,159,358,8
다정동,영업용,0,0,32,3
