주용도코드명,대지위치
교육연구시설,세종특별자치시  반곡동 42-9번지
주거지,세종특별자치시  반곡동 146-75번지
농축산업시설,세종특별자치시  반곡동 146-79번지
농축산업시설,세종특별자치시  반곡동 146-79번지
창고시설,세종특별자치시  반곡동 146-79번지
교육연구시설,세종특별자치시  반곡동 180-1번지
주거지,세종특별자치시  반곡동 203-38번지
주거지,세종특별자치시  반곡동 203-39번지
주거지,세종특별자치시  반곡동 203-127번지
주거지,세종특별자치시  반곡동 203-189번지
주거지,세종특별자치시  소담동 9-60번지
주거지,세종특별자치시  소담동 9-61번지
주거지,세종특별자치시  소담동 9-63번지
편의시설,세종특별자치시  소담동 9-66번지
편의시설,세종특별자치시  소담동 9-66번지
주거지,세종특별자치시  소담동 9-128번지
주거지,세종특별자치시  소담동 9-130번지
주거지,세종특별자치시  소담동 10-1번지
주거지,세종특별자치시  소담동 11번지
생산시설,세종특별자치시  소담동 11번지
창고시설,세종특별자치시  보람동 40번지
편의시설,세종특별자치시  보람동 40번지
생산시설,세종특별자치시  보람동 40번지
주거지,세종특별자치시  보람동 70-8번지
창고시설,세종특별자치시  보람동 700-33번지
편의시설,세종특별자치시  보람동 703번지
편의시설,세종특별자치시  보람동 704번지
편의시설,세종특별자치시  보람동 705번지
편의시설,세종특별자치시  보람동 706번지
편의시설,세종특별자치시  보람동 707번지
창고시설,세종특별자치시  대평동 65-10번지
편의시설,세종특별자치시  대평동 65-17번지
편의시설,세종특별자치시  대평동 645번지
자원순환관련시설,세종특별자치시  대평동 646번지
자원순환관련시설,세종특별자치시  대평동 646번지
자원순환관련시설,세종특별자치시  대평동 647번지
자동차관련시설,세종특별자치시  대평동 649번지
자동차관련시설,세종특별자치시  대평동 649번지
자동차관련시설,세종특별자치시  대평동 649번지
자동차관련시설,세종특별자치시  대평동 649번지
편의시설,세종특별자치시  가람동 3번지
편의시설,세종특별자치시  가람동 3번지
편의시설,세종특별자치시  가람동 3번지
생산시설,세종특별자치시  가람동 512-2번지
생산시설,세종특별자치시  가람동 512-2번지
생산시설,세종특별자치시  가람동 512-2번지
생산시설,세종특별자치시  가람동 512-2번지
생산시설,세종특별자치시  가람동 512-2번지
생산시설,세종특별자치시  가람동 512-2번지
생산시설,세종특별자치시  가람동 512-2번지
주거지,세종특별자치시  한솔동 867번지
주거지,세종특별자치시  한솔동 869번지
주거지,세종특별자치시  한솔동 871번지
주거지,세종특별자치시  한솔동 872번지
주거지,세종특별자치시  한솔동 875번지
주거지,세종특별자치시  한솔동 876번지
주거지,세종특별자치시  한솔동 887번지
주거지,세종특별자치시  한솔동 891번지
주거지,세종특별자치시  한솔동 892번지
주거지,세종특별자치시  한솔동 898번지
편의시설,세종특별자치시  나성동 42-1번지
주거지,세종특별자치시  나성동 61-2번지
주거지,세종특별자치시  나성동 62-1번지
주거지,세종특별자치시  나성동 62-4번지
주거지,세종특별자치시  나성동 64-1번지
주거지,세종특별자치시  나성동 64-2번지
주거지,세종특별자치시  나성동 64-2번지
주거지,세종특별자치시  나성동 69-2번지
주거지,세종특별자치시  나성동 70번지
주거지,세종특별자치시  나성동 70-1번지
님비시설,세종특별자치시  새롬동 341-23번지
생산시설,세종특별자치시  새롬동 549번지
편의시설,세종특별자치시  새롬동 550번지
편의시설,세종특별자치시  새롬동 550번지
편의시설,세종특별자치시  새롬동 550번지
편의시설,세종특별자치시  새롬동 550번지
교육연구시설,세종특별자치시  새롬동 552번지
교육연구시설,세종특별자치시  새롬동 552번지
주거지,세종특별자치시  새롬동 554번지
주거지,세종특별자치시  새롬동 554번지
자동차관련시설,세종특별자치시  다정동 7-5번지
생산시설,세종특별자치시  다정동 393-1번지
생산시설,세종특별자치시  다정동 397-2번지
생산시설,세종특별자치시  다정동 397-2번지
생산시설,세종특별자치시  다정동 397-2번지
생산시설,세종특별자치시  다정동 397-2번지
생산시설,세종특별자치시  다정동 397-2번지
생산시설,세종특별자치시  다정동 397-2번지
생산시설,세종특별자치시  다정동 397-2번지
생산시설,세종특별자치시  다정동 397-2번지
주거지,세종특별자치시  어진동 20-57번지
농축산업시설,세종특별자치시  어진동 20-62번지
주거지,세종특별자치시  어진동 20-62번지
농축산업시설,세종특별자치시  어진동 20-62번지
주거지,세종특별자치시  어진동 20-62번지
주거지,세종특별자치시  어진동 20-62번지
주거지,세종특별자치시  어진동 20-64번지
주거지,세종특별자치시  어진동 20-64번지
주거지,세종특별자치시  어진동 20-64번지
주거지,세종특별자치시  어진동 20-64번지
편의시설,세종특별자치시  종촌동 160번지
생산시설,세종특별자치시  종촌동 638번지
주거지,세종특별자치시  종촌동 640번지
주거지,세종특별자치시  종촌동 640번지
주거지,세종특별자치시  종촌동 640번지
주거지,세종특별자치시  종촌동 640번지
주거지,세종특별자치시  종촌동 640번지
주거지,세종특별자치시  종촌동 640번지
주거지,세종특별자치시  종촌동 640번지
주거지,세종특별자치시  종촌동 640번지
교육연구시설,세종특별자치시  고운동 470-5번지
생산시설,세종특별자치시  고운동 748-2번지
자원순환관련시설,세종특별자치시  고운동 819번지
자원순환관련시설,세종특별자치시  고운동 819번지
자원순환관련시설,세종특별자치시  고운동 819번지
자원순환관련시설,세종특별자치시  고운동 819번지
자원순환관련시설,세종특별자치시  고운동 819번지
편의시설,세종특별자치시  고운동 821번지
편의시설,세종특별자치시  고운동 821번지
편의시설,세종특별자치시  고운동 821번지
주거지,세종특별자치시  아름동 123번지
농축산업시설,세종특별자치시  아름동 138-2번지
농축산업시설,세종특별자치시  아름동 138-2번지
생산시설,세종특별자치시  아름동 361-1번지
주거지,세종특별자치시  아름동 592번지
편의시설,세종특별자치시  아름동 804번지
편의시설,세종특별자치시  아름동 804번지
편의시설,세종특별자치시  아름동 804번지
편의시설,세종특별자치시  아름동 804번지
편의시설,세종특별자치시  아름동 804번지
주거지,세종특별자치시  도담동 16-2번지
주거지,세종특별자치시  도담동 105-15번지
창고시설,세종특별자치시  도담동 204번지
주거지,세종특별자치시  도담동 221-2번지
생산시설,세종특별자치시  도담동 260-374번지
편의시설,세종특별자치시  도담동 260-407번지
편의시설,세종특별자치시  도담동 260-407번지
편의시설,세종특별자치시  도담동 260-407번지
님비시설,세종특별자치시  도담동 403번지
편의시설,세종특별자치시  도담동 407번지
생산시설,세종특별자치시  산울동 139-4번지
편의시설,세종특별자치시  산울동 142-1번지
주거지,세종특별자치시  산울동 174-1번지
편의시설,세종특별자치시  산울동 186-14번지
생산시설,세종특별자치시  산울동 196-6번지
주거지,세종특별자치시  산울동 207-20번지
창고시설,세종특별자치시  산울동 221-1번지
주거지,세종특별자치시  산울동 314-5번지
주거지,세종특별자치시  산울동 314-5번지
주거지,세종특별자치시  산울동 314-7번지
주거지,세종특별자치시  해밀동 17번지
주거지,세종특별자치시  해밀동 17번지
주거지,세종특별자치시  해밀동 31-1번지
주거지,세종특별자치시  해밀동 38-4번지
주거지,세종특별자치시  해밀동 42번지
농축산업시설,세종특별자치시  해밀동 44-1번지
주거지,세종특별자치시  해밀동 44-6번지
편의시설,세종특별자치시  해밀동 59번지
주거지,세종특별자치시  해밀동 59번지
편의시설,세종특별자치시  해밀동 59-1번지
생산시설,세종특별자치시  합강동 22-34번지
주거지,세종특별자치시  합강동 57번지
주거지,세종특별자치시  합강동 63번지
농축산업시설,세종특별자치시  합강동 65-5번지
창고시설,세종특별자치시  합강동 69번지
주거지,세종특별자치시  합강동 76-1번지
편의시설,세종특별자치시  합강동 83-1번지
주거지,세종특별자치시  합강동 83-1번지
주거지,세종특별자치시  합강동 83-1번지
주거지,세종특별자치시  합강동 83-1번지
생산시설,세종특별자치시  집현동 193번지
생산시설,세종특별자치시  집현동 193번지
창고시설,세종특별자치시  집현동 193번지
생산시설,세종특별자치시  집현동 193번지
창고시설,세종특별자치시  집현동 202번지
편의시설,세종특별자치시  집현동 202번지
창고시설,세종특별자치시  집현동 202번지
주거지,세종특별자치시  집현동 359번지
주거지,세종특별자치시  집현동 360번지
주거지,세종특별자치시  집현동 422번지
편의시설,세종특별자치시  조치원읍 원리 1-1번지
편의시설,세종특별자치시  조치원읍 원리 1-3번지
창고시설,세종특별자치시  조치원읍 원리 1-3번지
편의시설,세종특별자치시  조치원읍 원리 1-3번지
편의시설,세종특별자치시  조치원읍 원리 1-6번지
편의시설,세종특별자치시  조치원읍 원리 1-7번지
편의시설,세종특별자치시  조치원읍 원리 1-8번지
편의시설,세종특별자치시  조치원읍 원리 1-9번지
편의시설,세종특별자치시  조치원읍 원리 1-10번지
편의시설,세종특별자치시  조치원읍 원리 1-11번지
주거지,세종특별자치시  조치원읍 상리 3번지
주거지,세종특별자치시  조치원읍 상리 4번지
주거지,세종특별자치시  조치원읍 상리 5번지
주거지,세종특별자치시  조치원읍 상리 8-1번지
주거지,세종특별자치시  조치원읍 상리 8-3번지
주거지,세종특별자치시  조치원읍 상리 8-3번지
편의시설,세종특별자치시  조치원읍 상리 8-4번지
주거지,세종특별자치시  조치원읍 상리 10-2번지
편의시설,세종특별자치시  조치원읍 상리 13-1번지
주거지,세종특별자치시  조치원읍 상리 14번지
주거지,세종특별자치시  조치원읍 평리 4-2번지
주거지,세종특별자치시  조치원읍 평리 4-3번지
편의시설,세종특별자치시  조치원읍 평리 4-7번지
주거지,세종특별자치시  조치원읍 평리 5-1번지
주거지,세종특별자치시  조치원읍 평리 5-1번지
주거지,세종특별자치시  조치원읍 평리 5-1번지
주거지,세종특별자치시  조치원읍 평리 5-2번지
주거지,세종특별자치시  조치원읍 평리 5-3번지
주거지,세종특별자치시  조치원읍 평리 5-5번지
주거지,세종특별자치시  조치원읍 평리 5-7번지
교육연구시설,세종특별자치시  조치원읍 교리 1-1번지
교육연구시설,세종특별자치시  조치원읍 교리 1-1번지
교육연구시설,세종특별자치시  조치원읍 교리 1-1번지
교육연구시설,세종특별자치시  조치원읍 교리 1-1번지
교육연구시설,세종특별자치시  조치원읍 교리 1-1번지
주거지,세종특별자치시  조치원읍 교리 1-2번지
편의시설,세종특별자치시  조치원읍 교리 1-3번지
편의시설,세종특별자치시  조치원읍 교리 1-4번지
편의시설,세종특별자치시  조치원읍 교리 1-5번지
편의시설,세종특별자치시  조치원읍 교리 1-8번지
편의시설,세종특별자치시  조치원읍 정리 1-1번지
편의시설,세종특별자치시  조치원읍 정리 1-1번지
주거지,세종특별자치시  조치원읍 정리 1-2번지
편의시설,세종특별자치시  조치원읍 정리 2번지
주거지,세종특별자치시  조치원읍 정리 3번지
편의시설,세종특별자치시  조치원읍 정리 4-2번지
편의시설,세종특별자치시  조치원읍 정리 4-3번지
편의시설,세종특별자치시  조치원읍 정리 5번지
주거지,세종특별자치시  조치원읍 정리 6-2번지
주거지,세종특별자치시  조치원읍 정리 8번지
편의시설,세종특별자치시  조치원읍 명리 1-1번지
편의시설,세종특별자치시  조치원읍 명리 1-3번지
편의시설,세종특별자치시  조치원읍 명리 1-4번지
주거지,세종특별자치시  조치원읍 명리 1-4번지
주거지,세종특별자치시  조치원읍 명리 1-5번지
편의시설,세종특별자치시  조치원읍 명리 2-1번지
주거지,세종특별자치시  조치원읍 명리 3-1번지
편의시설,세종특별자치시  조치원읍 명리 3-2번지
창고시설,세종특별자치시  조치원읍 명리 4번지
편의시설,세종특별자치시  조치원읍 명리 5번지
편의시설,세종특별자치시  조치원읍 남리 4-1번지
주거지,세종특별자치시  조치원읍 남리 4-2번지
주거지,세종특별자치시  조치원읍 남리 4-6번지
주거지,세종특별자치시  조치원읍 남리 4-7번지
주거지,세종특별자치시  조치원읍 남리 6-1번지
주거지,세종특별자치시  조치원읍 남리 6-4번지
주거지,세종특별자치시  조치원읍 남리 9번지
주거지,세종특별자치시  조치원읍 남리 9번지
주거지,세종특별자치시  조치원읍 남리 9-2번지
주거지,세종특별자치시  조치원읍 남리 9-3번지
주거지,세종특별자치시  조치원읍 침산리 1번지
주거지,세종특별자치시  조치원읍 침산리 1-2번지
주거지,세종특별자치시  조치원읍 침산리 3-8번지
편의시설,세종특별자치시  조치원읍 침산리 4-1번지
자동차관련시설,세종특별자치시  조치원읍 침산리 5-1번지
자동차관련시설,세종특별자치시  조치원읍 침산리 5-1번지
자동차관련시설,세종특별자치시  조치원읍 침산리 5-1번지
편의시설,세종특별자치시  조치원읍 침산리 5-2번지
자동차관련시설,세종특별자치시  조치원읍 침산리 5-4번지
편의시설,세종특별자치시  조치원읍 침산리 5-6번지
주거지,세종특별자치시  조치원읍 신흥리 1-2번지
주거지,세종특별자치시  조치원읍 신흥리 1-3번지
편의시설,세종특별자치시  조치원읍 신흥리 1-7번지
편의시설,세종특별자치시  조치원읍 신흥리 1-9번지
편의시설,세종특별자치시  조치원읍 신흥리 1-10번지
편의시설,세종특별자치시  조치원읍 신흥리 1-11번지
주거지,세종특별자치시  조치원읍 신흥리 1-12번지
주거지,세종특별자치시  조치원읍 신흥리 1-14번지
주거지,세종특별자치시  조치원읍 신흥리 1-16번지
주거지,세종특별자치시  조치원읍 신흥리 1-17번지
편의시설,세종특별자치시  조치원읍 죽림리 2-1번지
편의시설,세종특별자치시  조치원읍 죽림리 3-1번지
편의시설,세종특별자치시  조치원읍 죽림리 4-3번지
편의시설,세종특별자치시  조치원읍 죽림리 4-3번지
편의시설,세종특별자치시  조치원읍 죽림리 4-4번지
편의시설,세종특별자치시  조치원읍 죽림리 4-5번지
창고시설,세종특별자치시  조치원읍 죽림리 4-5번지
편의시설,세종특별자치시  조치원읍 죽림리 4-5번지
주거지,세종특별자치시  조치원읍 죽림리 4-8번지
주거지,세종특별자치시  조치원읍 죽림리 4-9번지
창고시설,세종특별자치시  조치원읍 번암리 2번지
생산시설,세종특별자치시  조치원읍 번암리 2번지
생산시설,세종특별자치시  조치원읍 번암리 2번지
생산시설,세종특별자치시  조치원읍 번암리 9번지
생산시설,세종특별자치시  조치원읍 번암리 9번지
생산시설,세종특별자치시  조치원읍 번암리 9번지
생산시설,세종특별자치시  조치원읍 번암리 9번지
생산시설,세종특별자치시  조치원읍 번암리 9번지
생산시설,세종특별자치시  조치원읍 번암리 9번지
생산시설,세종특별자치시  조치원읍 번암리 9번지
주거지,세종특별자치시  조치원읍 신안리 6-1번지
주거지,세종특별자치시  조치원읍 신안리 6-1번지
주거지,세종특별자치시  조치원읍 신안리 6-1번지
주거지,세종특별자치시  조치원읍 신안리 6-1번지
주거지,세종특별자치시  조치원읍 신안리 6-1번지
주거지,세종특별자치시  조치원읍 신안리 6-1번지
주거지,세종특별자치시  조치원읍 신안리 6-2번지
주거지,세종특별자치시  조치원읍 신안리 16-1번지
편의시설,세종특별자치시  조치원읍 신안리 34-2번지
주거지,세종특별자치시  조치원읍 신안리 34-3번지
주거지,세종특별자치시  조치원읍 봉산리 1-1번지
편의시설,세종특별자치시  조치원읍 봉산리 1-3번지
창고시설,세종특별자치시  조치원읍 봉산리 3번지
주거지,세종특별자치시  조치원읍 봉산리 3-8번지
창고시설,세종특별자치시  조치원읍 봉산리 3-8번지
주거지,세종특별자치시  조치원읍 봉산리 4번지
주거지,세종특별자치시  조치원읍 봉산리 4번지
편의시설,세종특별자치시  조치원읍 봉산리 5번지
주거지,세종특별자치시  조치원읍 봉산리 5-2번지
