index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
60,환경부(한국자동차환경협회),SW융합기술지원센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,수성구 ,"대구광역시 수성구 알파시티1로 170, 지하주차장 B01",24시간 이용가능,,급속(50kW),,"('35.835417860871', '128.681785806832')","(1106794.2718410238, 1760362.0323523728)"
74,환경부(한국자동차환경협회),㈜정방,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 가창면 가창로607-2,24시간 이용가능,,급속(50kW),,"('35.7676562433854', '128.648693637132')","(1103819.26073069, 1752786.6597794963)"
164,환경부(한국자동차환경협회),강당골 공영주차장,1,DC차데모+AC3상+DC콤보,대구광역시 ,남구 ,대구광역시 남구 봉덕동 1272-18,24시간 이용가능,,급속(50kW),주차요금 별도,"('35.8325986266917', '128.598447820011')","(1099302.1237300679, 1760046.8576255753)"
386,환경부(한국자동차환경협회),계명문화대학교,1,DC차데모+AC3상+DC콤보,대구광역시 ,달서구 ,"대구광역시 달서구 달서대로 675, 학생전용주차장 옥상층",06:00~17:00,,급속(50kW),,"('35.8594620298616', '128.486341828526')","(1089223.710219374, 1763050.0369347269)"
580,환경부(한국자동차환경협회),관사정문 주차장,1,DC콤보,대구광역시 ,동구 ,대구광역시 동구 둔산동 934-3,24시간 이용가능,,급속(100kW멀티),,"('35.9022443827031', '128.673336527949')","(1106034.675272436, 1767832.8664235235)"
733,환경부(한국자동차환경협회),구지면사무소,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 구지면 창리로 11길 38 ,24시간 이용가능,,급속(50kW),,"('35.6587923600585', '128.41359384741')","(1082683.6116390629, 1740616.282115374)"
737,환경부(한국자동차환경협회),국가물산업클러스터 주차장,11,DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 구지면 국가산단대로40길 20,24시간 이용가능,,급속(100kW동시),,"('35.6468668083004', '128.420173920421')","(1083275.1651845698, 1739283.071648196)"
913,환경부(한국자동차환경협회),근로복지공단 대구병원,21,DC콤보,대구광역시 ,북구 ,대구광역시 북구 학정로 515,24시간 이용가능,,급속(200kW동시),,"('35.9508260685431', '128.564015033083')","(1096206.5901159486, 1773264.0291394177)"
1118,환경부(한국자동차환경협회),낙동강 레포츠밸리,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 구지면 오설리 756,24시간 이용가능,,급속(100kW멀티),,"('35.6720686162659', '128.371552642516')","(1078904.0754894163, 1742100.4938398867)"
1121,환경부(한국자동차환경협회),낙동강물환경연구소,1,DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 구지면 국가산단대로52길 24-11,"평일 09:00~18:00, 주말 및 공휴일 미개방",,급속(100kW단독),,"('35.6533799606205', '128.422088587815')","(1083447.295232898, 1740011.2059118021)"
1125,환경부(한국자동차환경협회),낙동강승전기념관,1,DC차데모+AC3상+DC콤보,대구광역시 ,남구 ,대구광역시 남구 앞산순환로 574-110,24시간 이용가능,,급속(50kW),,"('35.8271706099814', '128.588788543725')","(1098433.7474788553, 1759440.0354976791)"
1285,환경부(한국자동차환경협회),노원동행정복지센터,1,DC차데모+AC3상+DC콤보,대구광역시 ,북구 ,대구광역시 북구 노원동2가 214,24시간 이용가능,,급속(100kW멀티),,"('35.890172453334', '128.576030472189')","(1097286.7871885465, 1766483.291752231)"
1306,환경부(한국자동차환경협회),논공공단주유소,1,DC차데모+AC3상+DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 논공읍 비슬로 1048,24시간 이용가능,,급속(50kW),,"('35.7287740796549', '128.432794099071')","(1084409.7288000258, 1748439.8497766096)"
1307,환경부(한국자동차환경협회),논공읍행정복지센터,1,DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 논공읍 비슬로 1779,24시간 이용가능,,급속(100kW단독),,"('35.7742727689388', '128.420332954017')","(1083289.4624252548, 1753526.3505965816)"
1308,환경부(한국자동차환경협회),논공휴게소(광주),1,DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 논공읍 광주대구고속도로 169,24시간 이용가능,,급속(100kW단독),,"('35.7672966339971', '128.403185255027')","(1081747.8713034175, 1752746.4574466979)"
1312,환경부(한국자동차환경협회),논공휴게소(광주방향),11,DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 논공읍 삼리리 471-14,24시간 이용가능,,급속(200kW동시),,"('35.7669116424427', '128.40293091599')","(1081725.0060314282, 1752703.4175286705)"
1314,환경부(한국자동차환경협회),논공휴게소(대구),1,DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 논공읍 삼리리 538-2,24시간 이용가능,,급속(100kW단독),,"('35.7651136629959', '128.403087973499')","(1081739.1256203966, 1752502.413410214)"
1318,환경부(한국자동차환경협회),논공휴게소(대구방향),11,DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 논공읍 삼리리 543,24시간 이용가능,,급속(200kW동시),,"('35.7643804546845', '128.402215407242')","(1081660.6812532677, 1752420.4447923077)"
1422,환경부(한국자동차환경협회),달서별빛캠프 캠핑장,11,DC콤보,대구광역시 ,달서구 ,대구광역시 달서구 달서구 송현동 산56번지,07:00~22:00,,급속(200kW동시),,"('35.8240549187137', '128.556393588056')","(1095521.4164377758, 1759091.7185145444)"
1424,환경부(한국자동차환경협회),달성군 보건소,1,DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 현풍읍 하리 253-2,평일 09:00 ~ 18:00 ,,급속(100kW멀티),,"('35.6920788171483', '128.446125354685')","(1085608.218772906, 1744337.523187282)"
1425,환경부(한국자동차환경협회),달성군보건소,1,DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 현풍읍 현풍중앙로 27,24시간 이용가능,,급속(100kW단독),,"('35.6920062392667', '128.446210542368')","(1085615.877210104, 1744329.4093831251)"
1426,환경부(한국자동차환경협회),달성군청,21,DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 논공읍 금포리 1313대구광역시 달성군 논공읍 금포리 1313,24시간 이용가능,,급속(200kW동시),,"('35.7747537349695', '128.431488237056')","(1084292.330816199, 1753580.119928139)"
1428,환경부(한국자동차환경협회),달성문화원,11,DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 현풍면 현풍동로 92,24시간 이용가능,,급속(200kW동시),,"('35.6988821593568', '128.451977455399')","(1086134.32705776, 1745098.0990690652)"
1430,환경부(한국자동차환경협회),달성습지생태학습관,21,DC콤보,대구광역시 ,달성군 ,대구광역시 달성군 화원읍 구라1길 88,24시간 이용가능,,급속(200kW동시),,"('35.8166837790687', '128.487055943237')","(1089287.9096725541, 1758267.6660321865)"
