 ID	   위도	     경도	        지오이드고	       정밀도
0	35.85499	128.58786	  28.803		-
1	35.83620	128.56005	  28.785		-
2	35.83710	128.60343	  28.888		-
3	35.83442	128.56339	  28.801		-
4	35.85320	128.60565	  28.849		-
5	35.84783	128.58674	  28.818		-
6	35.83263	128.57228	  28.831		-
7	35.83352	128.58118	  28.851		-
8	35.83531	128.55671	  28.779		-
9	35.84157	128.57340	  28.804		-
10	35.85499	128.58563	  28.798		-
11	35.84336	128.58563	  28.827		-
12	35.83442	128.57340	  28.828		-
13	35.84247	128.57896	  28.815		-
14	35.85499	128.60343	  28.840		-
15	35.85409	128.58563	  28.800		-
16	35.85588	128.59342	  28.814		-
17	35.83531	128.57896	  28.840		-
18	35.83620	128.57006	  28.813		-
19	35.83442	128.60009	  28.890		-
20	35.84515	128.60454	  28.866		-
21	35.83978	128.59898	  28.870		-
22	35.83620	128.56783	  28.807		-
23	35.84247	128.59564	  28.854		-
24	35.84873	128.60343	  28.855		-
25	35.83531	128.58452	  28.853		-
26	35.84426	128.57451	  28.797		-
27	35.85052	128.60232	  28.848		-
28	35.84873	128.58674	  28.816		-
29	35.85588	128.59231	  28.811		-
30	35.84426	128.60121	  28.860		-
31	35.85320	128.59787	  28.831		-
32	35.84694	128.60232	  28.856		-
33	35.83442	128.57117	  28.822		-
34	35.84068	128.59231	  28.852		-
35	35.85052	128.57117	  28.773		-
36	35.84515	128.57785	  28.803		-
37	35.85857	128.57340	  28.760		-
38	35.85409	128.58452	  28.797		-
39	35.85588	128.59787	  28.825		-
40	35.85141	128.59008	  28.817		-
41	35.84962	128.58007	  28.798		-
42	35.85320	128.59008	  28.813		-
43	35.84426	128.58786	  28.829		-
44	35.85588	128.58786	  28.801		-
45	35.84515	128.59342	  28.840		-
46	35.83889	128.56339	  28.786		-
47	35.84157	128.57228	  28.801		-
48	35.84247	128.57562	  28.806		-
49	35.85231	128.57785	  28.786		-
50	35.85409	128.57785	  28.782		-
51	35.84247	128.56783	  28.786		-
52	35.84783	128.59342	  28.833		-
53	35.83442	128.55894	  28.788		-
54	35.85052	128.59119	  28.822		-
55	35.85588	128.57562	  28.772		-
56	35.83978	128.60343	  28.880		-
57	35.84873	128.57673	  28.792		-
58	35.85678	128.59564	  28.817		-
59	35.84247	128.58118	  28.820		-
60	35.82994	128.57228	  28.840		-
61	35.83620	128.60121	  28.886		-
62	35.83710	128.57562	  28.825		-
63	35.84962	128.60343	  28.852		-
64	35.83352	128.60121	  28.895		-
65	35.83889	128.56450	  28.789		-
66	35.83531	128.55782	  28.782		-
67	35.85588	128.57451	  28.769		-
68	35.83620	128.58007	  28.839		-
69	35.83084	128.57340	  28.840		-
70	35.84336	128.60454	  28.871		-
71	35.84157	128.56783	  28.789		-
72	35.83352	128.57562	  28.837		-
73	35.84604	128.60121	  28.856		-
74	35.84336	128.58674	  28.830		-
75	35.84783	128.60454	  28.859		-
76	35.84604	128.57562	  28.795		-
77	35.83710	128.56005	  28.783		-
78	35.84783	128.59231	  28.831		-
79	35.83799	128.56005	  28.780		-
80	35.85678	128.58230	  28.786		-
81	35.83889	128.60121	  28.878		-
82	35.83531	128.58007	  28.842		-
83	35.85678	128.59342	  28.812		-
84	35.83531	128.59898	  28.885		-
85	35.85409	128.57673	  28.779		-
86	35.84247	128.56005	  28.766		-
87	35.84247	128.58230	  28.823		-
88	35.85409	128.58230	  28.792		-
89	35.85588	128.58563	  28.796		-
90	35.84962	128.59231	  28.826		-
91	35.83263	128.57006	  28.825		-
92	35.84336	128.56116	  28.766		-
93	35.84694	128.60454	  28.861		-
94	35.83352	128.57228	  28.828		-
95	35.83531	128.60343	  28.894		-
96	35.83889	128.60343	  28.882		-
97	35.84068	128.56895	  28.795		-
98	35.83889	128.57228	  28.810		-
99	35.83442	128.57228	  28.825		-
100	35.83352	128.59676	  28.887		-
101	35.83710	128.57006	  28.810		-
102	35.84694	128.57228	  28.785		-
103	35.84336	128.57673	  28.806		-
104	35.85588	128.58674	  28.798		-
105	35.83978	128.59453	  28.860		-
106	35.84068	128.58341	  28.831		-
107	35.85141	128.59676	  28.833		-
108	35.84157	128.56672	  28.786		-
109	35.84515	128.59564	  28.845		-
110	35.82994	128.57117	  28.837		-
111	35.83531	128.58341	  28.850		-
112	35.85588	128.59898	  28.827		-
113	35.82994	128.60232	  28.909		-
114	35.83442	128.57451	  28.831		-
115	35.84694	128.56895	  28.776		-
