 ID	   위도	     경도	        지오이드고	       정밀도
0	36.43171	127.41910	  25.362		-
1	36.40206	127.42461	  25.437		-
2	36.44519	127.41910	  25.342		-
3	36.35354	127.42681	  25.508		-
4	36.44609	127.42681	  25.369		-
5	36.35354	127.40479	  25.412		-
6	36.36073	127.44882	  25.603		-
7	36.38499	127.42681	  25.477		-
8	36.37690	127.41800	  25.441		-
9	36.39936	127.42461	  25.441		-
10	36.38050	127.42350	  25.465		-
11	36.44609	127.43231	  25.390		-
12	36.44699	127.42240	  25.352		-
13	36.42722	127.41800	  25.365		-
14	36.36881	127.43341	  25.523		-
15	36.40565	127.42240	  25.420		-
16	36.37510	127.41800	  25.443		-
17	36.36792	127.41690	  25.444		-
18	36.44249	127.42461	  25.367		-
19	36.35354	127.44662	  25.599		-
20	36.38499	127.42571	  25.472		-
21	36.40296	127.42350	  25.430		-
22	36.35264	127.41470	  25.456		-
23	36.36612	127.42130	  25.467		-
24	36.37331	127.42791	  25.492		-
25	36.35893	127.42130	  25.477		-
26	36.36612	127.42681	  25.494		-
27	36.35354	127.44442	  25.589		-
28	36.36702	127.43451	  25.530		-
29	36.43800	127.43341	  25.407		-
30	36.38948	127.42130	  25.443		-
31	36.34995	127.41360	  25.455		-
32	36.35803	127.42901	  25.513		-
33	36.35983	127.41360	  25.441		-
34	36.39936	127.42130	  25.426		-
35	36.36432	127.42571	  25.491		-
36	36.35713	127.44772	  25.601		-
37	36.36792	127.43011	  25.508		-
38	36.36881	127.42240	  25.470		-
39	36.44519	127.42791	  25.375		-
40	36.35264	127.44332	  25.585		-
41	36.43171	127.42240	  25.375		-
42	36.35713	127.42571	  25.499		-
43	36.44609	127.42901	  25.377		-
44	36.36432	127.39929	  25.374		-
45	36.36253	127.43011	  25.513		-
46	36.43800	127.42350	  25.369		-
47	36.35174	127.40479	  25.414		-
48	36.35893	127.42901	  25.512		-
49	36.39936	127.41910	  25.415		-
50	36.36163	127.41580	  25.448		-
51	36.44519	127.42020	  25.346		-
52	36.35893	127.42020	  25.472		-
53	36.43261	127.43121	  25.408		-
54	36.35264	127.40699	  25.422		-
55	36.35983	127.40259	  25.394		-
56	36.35713	127.40479	  25.407		-
57	36.35624	127.45323	  25.626		-
58	36.36342	127.44002	  25.559		-
59	36.42991	127.42240	  25.378		-
60	36.43980	127.43121	  25.396		-
61	36.41644	127.44002	  25.479		-
62	36.38948	127.43121	  25.490		-
63	36.36881	127.43121	  25.512		-
64	36.39397	127.42461	  25.451		-
65	36.45417	127.42681	  25.360		-
66	36.43351	127.41910	  25.359		-
67	36.36073	127.42350	  25.485		-
68	36.36971	127.42461	  25.479		-
69	36.35084	127.41140	  25.444		-
70	36.42542	127.46203	  25.555		-
71	36.40116	127.42461	  25.438		-
72	36.36253	127.44222	  25.570		-
73	36.43441	127.41800	  25.354		-
74	36.43081	127.41470	  25.347		-
75	36.44968	127.42791	  25.368		-
76	36.45058	127.42901	  25.371		-
77	36.35444	127.45102	  25.618		-
78	36.42183	127.42350	  25.397		-
79	36.35893	127.44772	  25.599		-
80	36.44878	127.43341	  25.389		-
81	36.35713	127.44002	  25.565		-
82	36.40116	127.42130	  25.423		-
83	36.34905	127.41360	  25.456		-
84	36.36792	127.41580	  25.439		-
85	36.36971	127.42571	  25.485		-
86	36.35264	127.42681	  25.509		-
87	36.36342	127.42020	  25.466		-
88	36.42632	127.41029	  25.338		-
89	36.39847	127.43011	  25.469		-
90	36.37061	127.42350	  25.473		-
91	36.45328	127.42681	  25.361		-
92	36.36971	127.42901	  25.501		-
93	36.34905	127.42020	  25.485		-
94	36.41644	127.44662	  25.508		-
95	36.35174	127.41800	  25.472		-
96	36.46945	127.46974	  25.521		-
97	36.36792	127.44882	  25.596		-
98	36.35534	127.40919	  25.428		-
99	36.39487	127.42020	  25.428		-
100	36.37331	127.41910	  25.450		-
101	36.44070	127.43231	  25.399		-
102	36.37870	127.41140	  25.411		-
103	36.36702	127.43341	  25.524		-
104	36.44699	127.42020	  25.343		-
105	36.44519	127.40919	  25.307		-
106	36.38768	127.44552	  25.560		-
107	36.39487	127.43121	  25.481		-
108	36.34725	127.41360	  25.459		-
109	36.37960	127.42240	  25.461		-
110	36.44968	127.46533	  25.525		-
111	36.44788	127.43121	  25.383		-
112	36.36253	127.43781	  25.549		-
113	36.44429	127.43011	  25.384		-
114	36.36432	127.41690	  25.449		-
115	36.38858	127.42130	  25.444		-
116	36.36163	127.43561	  25.540		-
117	36.35354	127.44222	  25.579		-
118	36.36612	127.40809	  25.409		-
119	36.34545	127.41470	  25.466		-
120	36.36612	127.42461	  25.483		-
121	36.36792	127.43892	  25.549		-
122	36.44339	127.39598	  25.267		-
123	36.40386	127.42240	  25.423		-
124	36.36073	127.44772	  25.597		-
125	36.43531	127.45102	  25.487		-
126	36.44788	127.40919	  25.303		-
127	36.36342	127.43231	  25.523		-
128	36.39487	127.44112	  25.526		-
129	36.35624	127.41140	  25.437		-
130	36.44968	127.43011	  25.376		-
131	36.35534	127.43892	  25.561		-
132	36.35713	127.44992	  25.611		-
133	36.41105	127.42461	  25.421		-
134	36.37331	127.41800	  25.444		-
135	36.36073	127.42240	  25.480		-
136	36.35624	127.40699	  25.418		-
137	36.35354	127.45433	  25.634		-
138	36.35534	127.44112	  25.572		-
139	36.35624	127.42681	  25.505		-
140	36.36702	127.41580	  25.441		-
141	36.44699	127.43231	  25.388		-
142	36.39577	127.44112	  25.525		-
143	36.36792	127.41360	  25.430		-
144	36.35444	127.42571	  25.502		-
145	36.39667	127.44222	  25.528		-
146	36.36342	127.41470	  25.441		-
147	36.36612	127.44332	  25.572		-
148	36.39128	127.42461	  25.455		-
149	36.34815	127.41910	  25.481		-
150	36.35534	127.45102	  25.618		-
151	36.37600	127.41690	  25.437		-
152	36.35893	127.45102	  25.614		-
153	36.45148	127.41800	  25.330		-
154	36.43171	127.40809	  25.322		-
155	36.38050	127.42461	  25.471		-
156	36.39397	127.42350	  25.445		-
157	36.44249	127.43011	  25.387		-
158	36.36432	127.41250	  25.430		-
159	36.36163	127.42791	  25.504		-
160	36.44699	127.41580	  25.327		-
161	36.43531	127.42130	  25.365		-
162	36.39847	127.42350	  25.438		-
163	36.35803	127.41910	  25.468		-
164	36.36792	127.44772	  25.591		-
165	36.45058	127.42571	  25.359		-
166	36.42812	127.41910	  25.368		-
167	36.36163	127.42350	  25.484		-
168	36.34995	127.41250	  25.450		-
169	36.36702	127.42901	  25.503		-
170	36.45058	127.41910	  25.334		-
171	36.44878	127.42901	  25.373		-
172	36.35983	127.42791	  25.506		-
173	36.45328	127.42571	  25.357		-
174	36.45058	127.43121	  25.379		-
175	36.37151	127.42901	  25.499		-
176	36.36342	127.45102	  25.610		-
177	36.44968	127.42571	  25.360		-
178	36.34995	127.40919	  25.436		-
179	36.35444	127.40479	  25.411		-
180	36.40116	127.42681	  25.449		-
181	36.37421	127.41690	  25.438		-
